id,tg id,category,summ,date,delete_date
1,294057781,bk,500,2023-09-27 10:21:35,2023-09-27 10:21:54
2,850099740,kfc,210,2023-09-27 10:41:01,2023-09-27 10:41:12
3,294057781,vit,10,2023-12-28 21:39:25,2023-12-29 00:15:41
4,294057781,vit,100,2024-09-27 00:57:32,2024-09-27 00:57:38
5,294057781,other,3,2024-09-27 00:58:10,2024-09-27 01:32:50
6,294057781,vit,3,2024-09-27 01:17:34,2024-09-27 01:42:20
7,294057781,vit,200,2024-09-27 01:41:36,2024-09-27 01:43:50
8,294057781,kfc,321,2023-12-29 00:15:56,2024-09-27 01:45:36
9,294057781,vit,37,2023-12-29 03:33:26,2024-09-27 01:45:43
10,294057781,vit,100,2024-09-27 01:07:04,2024-09-27 01:46:11
